Model,Accuracy,F1
LR+CountV (baseline),0.996717397791704,0.996873223422399
LR+TFIDF (tuned),0.9923903312444047,0.9927443448570209
RF+TFIDF,0.997612652939421,0.9977246871444824
XGB+TFIDF,0.9371829304685169,0.9391530568001156
BERT-finetuned,0.9985079080871382,0.9985811577752554
